Item,Variable,Substance,Tier,Field_Type,Gate_Variable,Gate_Value,Choice_Set,Text
159,hsum_can_sud09,Cannabis,Symptom - SUD (impaired control),radio,hsum_can_freq,>= 3,symptom_4pt,I used too much cannabis.
160,hsum_can_sud10,Cannabis,Symptom - SUD (impaired control),radio,hsum_can_freq,>= 3,symptom_4pt,"I tried to use cannabis only at certain times, but it did not work for long."
161,hsum_can_sud11,Cannabis,Symptom - SUD (impaired control),radio,hsum_can_freq,>= 3,symptom_4pt,I got high on cannabis despite previously deciding not to.
162,hsum_can_sud12,Cannabis,Symptom - SUD (role interference),radio,hsum_can_freq,>= 3,symptom_4pt,I continued to use cannabis even though it made my performance at work suffer.
163,hsum_can_sud13,Cannabis,Symptom - SUD (role interference),radio,hsum_can_freq,>= 3,symptom_4pt,"Using cannabis or being sick from using cannabis got in the way of my taking care of myself, my home, or my family."
164,hsum_can_sud14,Cannabis,Symptom - SUD (role interference),radio,hsum_can_freq,>= 3,symptom_4pt,"I missed work, school, or other obligations because I was getting over the effects of using cannabis."
165,hsum_can_sud15,Cannabis,Symptom - SUD (tolerance),radio,hsum_can_freq,>= 3,symptom_4pt,"Over time, I needed to use more cannabis to get the same effect."
166,hsum_can_sud16,Cannabis,Symptom - SUD (tolerance),radio,hsum_can_freq,>= 3,symptom_4pt,I've noticed that using cannabis does not have the same effect that it used to have.
167,hsum_can_sud17,Cannabis,Symptom - SUD (tolerance),radio,hsum_can_freq,>= 3,symptom_4pt,I used cannabis a lot more than others before feeling high.
168,hsum_can_with01,Cannabis,Symptom - Withdrawal (bodily sensations),radio,hsum_can_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cannabis, I experienced: Goose bumps"
169,hsum_can_with02,Cannabis,Symptom - Withdrawal (bodily sensations),radio,hsum_can_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cannabis, I experienced: Heart racing"
170,hsum_can_with03,Cannabis,Symptom - Withdrawal (bodily sensations),radio,hsum_can_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cannabis, I experienced: Muscle aches"
171,hsum_can_with04,Cannabis,Symptom - Withdrawal (bodily sensations),radio,hsum_can_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cannabis, I experienced: Physical shakes"
172,hsum_can_with05,Cannabis,Symptom - Withdrawal (bodily sensations),radio,hsum_can_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cannabis, I experienced: Seizures"
173,hsum_can_with06,Cannabis,Symptom - Withdrawal (bodily sensations),radio,hsum_can_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cannabis, I experienced: Sweating"
174,hsum_can_with07,Cannabis,Symptom - Withdrawal (digestive problems),radio,hsum_can_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cannabis, I experienced: Constipation"
175,hsum_can_with08,Cannabis,Symptom - Withdrawal (digestive problems),radio,hsum_can_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cannabis, I experienced: Diarrhea"
176,hsum_can_with09,Cannabis,Symptom - Withdrawal (digestive problems),radio,hsum_can_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cannabis, I experienced: Nausea or Vomiting"
177,hsum_can_with10,Cannabis,Symptom - Withdrawal (face or head),radio,hsum_can_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cannabis, I experienced: Coughing"
178,hsum_can_with11,Cannabis,Symptom - Withdrawal (face or head),radio,hsum_can_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cannabis, I experienced: Dilated pupils"
179,hsum_can_with12,Cannabis,Symptom - Withdrawal (face or head),radio,hsum_can_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cannabis, I experienced: Dry mouth"
180,hsum_can_with13,Cannabis,Symptom - Withdrawal (face or head),radio,hsum_can_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cannabis, I experienced: Fever"
181,hsum_can_with14,Cannabis,Symptom - Withdrawal (face or head),radio,hsum_can_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cannabis, I experienced: Headaches or Migraines"
182,hsum_can_with15,Cannabis,Symptom - Withdrawal (face or head),radio,hsum_can_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cannabis, I experienced: Mouth sores"
183,hsum_can_with16,Cannabis,Symptom - Withdrawal (face or head),radio,hsum_can_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cannabis, I experienced: Runny nose"
184,hsum_can_with17,Cannabis,Symptom - Withdrawal (face or head),radio,hsum_can_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cannabis, I experienced: Teary eyes"
185,hsum_can_with18,Cannabis,Symptom - Withdrawal (face or head),radio,hsum_can_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cannabis, I experienced: Yawning"
186,hsum_can_with19,Cannabis,"Symptom - Withdrawal (think, feel, or behave)",radio,hsum_can_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cannabis, I experienced: Anxiety or Nervousness"
187,hsum_can_with20,Cannabis,"Symptom - Withdrawal (think, feel, or behave)",radio,hsum_can_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cannabis, I experienced: Depression or Sadness"
188,hsum_can_with21,Cannabis,"Symptom - Withdrawal (think, feel, or behave)",radio,hsum_can_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cannabis, I experienced: Trouble enjoying things"
189,hsum_can_with22,Cannabis,"Symptom - Withdrawal (think, feel, or behave)",radio,hsum_can_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cannabis, I experienced: Anger or Irritability"
190,hsum_can_with23,Cannabis,"Symptom - Withdrawal (think, feel, or behave)",radio,hsum_can_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cannabis, I experienced: Trouble concentrating"
191,hsum_can_with24,Cannabis,"Symptom - Withdrawal (think, feel, or behave)",radio,hsum_can_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cannabis, I experienced: Trouble paying attention"
192,hsum_can_with25,Cannabis,"Symptom - Withdrawal (think, feel, or behave)",radio,hsum_can_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cannabis, I experienced: Trouble thinking clearly"
193,hsum_can_with26,Cannabis,"Symptom - Withdrawal (think, feel, or behave)",radio,hsum_can_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cannabis, I experienced: Restlessness"
194,hsum_can_with27,Cannabis,"Symptom - Withdrawal (think, feel, or behave)",radio,hsum_can_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cannabis, I experienced: Seeing things that weren't really there"
195,hsum_can_with28,Cannabis,"Symptom - Withdrawal (think, feel, or behave)",radio,hsum_can_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cannabis, I experienced: Feeling things that weren't really there"
196,hsum_can_with29,Cannabis,"Symptom - Withdrawal (think, feel, or behave)",radio,hsum_can_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cannabis, I experienced: Hearing things that weren't really there"
197,hsum_can_with30,Cannabis,Symptom - Withdrawal (appetite or sleeping),radio,hsum_can_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cannabis, I experienced: Decreased appetite"
198,hsum_can_with31,Cannabis,Symptom - Withdrawal (appetite or sleeping),radio,hsum_can_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cannabis, I experienced: Increased appetite"
199,hsum_can_with32,Cannabis,Symptom - Withdrawal (appetite or sleeping),radio,hsum_can_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cannabis, I experienced: Sleeping too much"
200,hsum_can_with33,Cannabis,Symptom - Withdrawal (appetite or sleeping),radio,hsum_can_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cannabis, I experienced: Insomnia or trouble sleeping"
201,hsum_coc_sud01,Cocaine,Symptom - SUD (craving),radio,hsum_coc_freq,>= 3,symptom_4pt,Reminders of cocaine gave me a strong urge to use cocaine.
202,hsum_coc_sud02,Cocaine,Symptom - SUD (craving),radio,hsum_coc_freq,>= 3,symptom_4pt,I craved cocaine.
203,hsum_coc_sud03,Cocaine,Symptom - SUD (craving),radio,hsum_coc_freq,>= 3,symptom_4pt,I had strong desires to use cocaine.
204,hsum_coc_sud04,Cocaine,Symptom - SUD (hazardous use),radio,hsum_coc_freq,>= 3,symptom_4pt,I drove a car while intoxicated under the influence of cocaine.
205,hsum_coc_sud05,Cocaine,Symptom - SUD (hazardous use),radio,hsum_coc_freq,>= 3,symptom_4pt,"When I was under the influence of cocaine, I was in a situation where I could have gotten hurt (e.g., when riding a bicycle, swimming, operating machinery)."
206,hsum_coc_sud06,Cocaine,Symptom - SUD (hazardous use),radio,hsum_coc_freq,>= 3,symptom_4pt,I damaged something valuable while using cocaine.
207,hsum_coc_sud07,Cocaine,Symptom - SUD (hazardous use),radio,hsum_coc_freq,>= 3,symptom_4pt,I did risky or dangerous things while using cocaine that I would not have done sober.
208,hsum_coc_sud08,Cocaine,Symptom - SUD (impaired control),radio,hsum_coc_freq,>= 3,symptom_4pt,I was not able to cut back on using cocaine when I wanted to.
209,hsum_coc_sud09,Cocaine,Symptom - SUD (impaired control),radio,hsum_coc_freq,>= 3,symptom_4pt,I used too much cocaine.
210,hsum_coc_sud10,Cocaine,Symptom - SUD (impaired control),radio,hsum_coc_freq,>= 3,symptom_4pt,"I tried to use cocaine only at certain times, but it did not work for long."
211,hsum_coc_sud11,Cocaine,Symptom - SUD (impaired control),radio,hsum_coc_freq,>= 3,symptom_4pt,I got high on cocaine despite previously deciding not to.
212,hsum_coc_sud12,Cocaine,Symptom - SUD (role interference),radio,hsum_coc_freq,>= 3,symptom_4pt,I continued to use cocaine even though it made my performance at work suffer.
213,hsum_coc_sud13,Cocaine,Symptom - SUD (role interference),radio,hsum_coc_freq,>= 3,symptom_4pt,"Using cocaine or being sick from using cocaine got in the way of my taking care of myself, my home, or my family."
214,hsum_coc_sud14,Cocaine,Symptom - SUD (role interference),radio,hsum_coc_freq,>= 3,symptom_4pt,"I missed work, school, or other obligations because I was getting over the effects of using cocaine."
215,hsum_coc_sud15,Cocaine,Symptom - SUD (tolerance),radio,hsum_coc_freq,>= 3,symptom_4pt,"Over time, I needed to use more cocaine to get the same effect."
216,hsum_coc_sud16,Cocaine,Symptom - SUD (tolerance),radio,hsum_coc_freq,>= 3,symptom_4pt,I've noticed that using cocaine does not have the same effect that it used to have.
217,hsum_coc_sud17,Cocaine,Symptom - SUD (tolerance),radio,hsum_coc_freq,>= 3,symptom_4pt,I used cocaine a lot more than others before feeling high.
218,hsum_coc_with01,Cocaine,Symptom - Withdrawal (bodily sensations),radio,hsum_coc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cocaine, I experienced: Goose bumps"
219,hsum_coc_with02,Cocaine,Symptom - Withdrawal (bodily sensations),radio,hsum_coc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cocaine, I experienced: Heart racing"
220,hsum_coc_with03,Cocaine,Symptom - Withdrawal (bodily sensations),radio,hsum_coc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cocaine, I experienced: Muscle aches"
221,hsum_coc_with04,Cocaine,Symptom - Withdrawal (bodily sensations),radio,hsum_coc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cocaine, I experienced: Physical shakes"
222,hsum_coc_with05,Cocaine,Symptom - Withdrawal (bodily sensations),radio,hsum_coc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cocaine, I experienced: Seizures"
223,hsum_coc_with06,Cocaine,Symptom - Withdrawal (bodily sensations),radio,hsum_coc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cocaine, I experienced: Sweating"
224,hsum_coc_with07,Cocaine,Symptom - Withdrawal (digestive problems),radio,hsum_coc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cocaine, I experienced: Constipation"
225,hsum_coc_with08,Cocaine,Symptom - Withdrawal (digestive problems),radio,hsum_coc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cocaine, I experienced: Diarrhea"
226,hsum_coc_with09,Cocaine,Symptom - Withdrawal (digestive problems),radio,hsum_coc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cocaine, I experienced: Nausea or Vomiting"
227,hsum_coc_with10,Cocaine,Symptom - Withdrawal (face or head),radio,hsum_coc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cocaine, I experienced: Coughing"
228,hsum_coc_with11,Cocaine,Symptom - Withdrawal (face or head),radio,hsum_coc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cocaine, I experienced: Dilated pupils"
229,hsum_coc_with12,Cocaine,Symptom - Withdrawal (face or head),radio,hsum_coc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cocaine, I experienced: Dry mouth"
230,hsum_coc_with13,Cocaine,Symptom - Withdrawal (face or head),radio,hsum_coc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cocaine, I experienced: Fever"
231,hsum_coc_with14,Cocaine,Symptom - Withdrawal (face or head),radio,hsum_coc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cocaine, I experienced: Headaches or Migraines"
232,hsum_coc_with15,Cocaine,Symptom - Withdrawal (face or head),radio,hsum_coc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cocaine, I experienced: Mouth sores"
233,hsum_coc_with16,Cocaine,Symptom - Withdrawal (face or head),radio,hsum_coc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cocaine, I experienced: Runny nose"
234,hsum_coc_with17,Cocaine,Symptom - Withdrawal (face or head),radio,hsum_coc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cocaine, I experienced: Teary eyes"
235,hsum_coc_with18,Cocaine,Symptom - Withdrawal (face or head),radio,hsum_coc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cocaine, I experienced: Yawning"
236,hsum_coc_with19,Cocaine,"Symptom - Withdrawal (think, feel, or behave)",radio,hsum_coc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cocaine, I experienced: Anxiety or Nervousness"
237,hsum_coc_with20,Cocaine,"Symptom - Withdrawal (think, feel, or behave)",radio,hsum_coc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cocaine, I experienced: Depression or Sadness"
238,hsum_coc_with21,Cocaine,"Symptom - Withdrawal (think, feel, or behave)",radio,hsum_coc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cocaine, I experienced: Trouble enjoying things"
239,hsum_coc_with22,Cocaine,"Symptom - Withdrawal (think, feel, or behave)",radio,hsum_coc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cocaine, I experienced: Anger or Irritability"
240,hsum_coc_with23,Cocaine,"Symptom - Withdrawal (think, feel, or behave)",radio,hsum_coc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cocaine, I experienced: Trouble concentrating"
241,hsum_coc_with24,Cocaine,"Symptom - Withdrawal (think, feel, or behave)",radio,hsum_coc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cocaine, I experienced: Trouble paying attention"
242,hsum_coc_with25,Cocaine,"Symptom - Withdrawal (think, feel, or behave)",radio,hsum_coc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cocaine, I experienced: Trouble thinking clearly"
243,hsum_coc_with26,Cocaine,"Symptom - Withdrawal (think, feel, or behave)",radio,hsum_coc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cocaine, I experienced: Restlessness"
244,hsum_coc_with27,Cocaine,"Symptom - Withdrawal (think, feel, or behave)",radio,hsum_coc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cocaine, I experienced: Seeing things that weren't really there"
245,hsum_coc_with28,Cocaine,"Symptom - Withdrawal (think, feel, or behave)",radio,hsum_coc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cocaine, I experienced: Feeling things that weren't really there"
246,hsum_coc_with29,Cocaine,"Symptom - Withdrawal (think, feel, or behave)",radio,hsum_coc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cocaine, I experienced: Hearing things that weren't really there"
247,hsum_coc_with30,Cocaine,Symptom - Withdrawal (appetite or sleeping),radio,hsum_coc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cocaine, I experienced: Decreased appetite"
248,hsum_coc_with31,Cocaine,Symptom - Withdrawal (appetite or sleeping),radio,hsum_coc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cocaine, I experienced: Increased appetite"
249,hsum_coc_with32,Cocaine,Symptom - Withdrawal (appetite or sleeping),radio,hsum_coc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cocaine, I experienced: Sleeping too much"
250,hsum_coc_with33,Cocaine,Symptom - Withdrawal (appetite or sleeping),radio,hsum_coc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of cocaine, I experienced: Insomnia or trouble sleeping"
251,hsum_stm_sud01,Prescription stimulants,Symptom - SUD (craving),radio,hsum_stm_freq,>= 3,symptom_4pt,Reminders of prescription stimulants gave me a strong urge to use prescription stimulants.
252,hsum_stm_sud02,Prescription stimulants,Symptom - SUD (craving),radio,hsum_stm_freq,>= 3,symptom_4pt,I craved prescription stimulants.
253,hsum_stm_sud03,Prescription stimulants,Symptom - SUD (craving),radio,hsum_stm_freq,>= 3,symptom_4pt,I had strong desires to use prescription stimulants.
254,hsum_stm_sud04,Prescription stimulants,Symptom - SUD (hazardous use),radio,hsum_stm_freq,>= 3,symptom_4pt,I drove a car while intoxicated under the influence of prescription stimulants.
255,hsum_stm_sud05,Prescription stimulants,Symptom - SUD (hazardous use),radio,hsum_stm_freq,>= 3,symptom_4pt,"When I was under the influence of prescription stimulants, I was in a situation where I could have gotten hurt (e.g., when riding a bicycle, swimming, operating machinery)."
256,hsum_stm_sud06,Prescription stimulants,Symptom - SUD (hazardous use),radio,hsum_stm_freq,>= 3,symptom_4pt,I damaged something valuable while using prescription stimulants.
257,hsum_stm_sud07,Prescription stimulants,Symptom - SUD (hazardous use),radio,hsum_stm_freq,>= 3,symptom_4pt,I did risky or dangerous things while using prescription stimulants that I would not have done sober.
258,hsum_stm_sud08,Prescription stimulants,Symptom - SUD (impaired control),radio,hsum_stm_freq,>= 3,symptom_4pt,I was not able to cut back on using prescription stimulants when I wanted to.
259,hsum_stm_sud09,Prescription stimulants,Symptom - SUD (impaired control),radio,hsum_stm_freq,>= 3,symptom_4pt,I used too much prescription stimulants.
260,hsum_stm_sud10,Prescription stimulants,Symptom - SUD (impaired control),radio,hsum_stm_freq,>= 3,symptom_4pt,"I tried to use prescription stimulants only at certain times, but it did not work for long."
261,hsum_stm_sud11,Prescription stimulants,Symptom - SUD (impaired control),radio,hsum_stm_freq,>= 3,symptom_4pt,I got high on prescription stimulants despite previously deciding not to.
262,hsum_stm_sud12,Prescription stimulants,Symptom - SUD (role interference),radio,hsum_stm_freq,>= 3,symptom_4pt,I continued to use prescription stimulants even though it made my performance at work suffer.
263,hsum_stm_sud13,Prescription stimulants,Symptom - SUD (role interference),radio,hsum_stm_freq,>= 3,symptom_4pt,"Using prescription stimulants or being sick from using prescription stimulants got in the way of my taking care of myself, my home, or my family."
264,hsum_stm_sud14,Prescription stimulants,Symptom - SUD (role interference),radio,hsum_stm_freq,>= 3,symptom_4pt,"I missed work, school, or other obligations because I was getting over the effects of using prescription stimulants."
265,hsum_stm_sud15,Prescription stimulants,Symptom - SUD (tolerance),radio,hsum_stm_freq,>= 3,symptom_4pt,"Over time, I needed to use more prescription stimulants to get the same effect."
266,hsum_stm_sud16,Prescription stimulants,Symptom - SUD (tolerance),radio,hsum_stm_freq,>= 3,symptom_4pt,I've noticed that using prescription stimulants does not have the same effect that it used to have.
267,hsum_stm_sud17,Prescription stimulants,Symptom - SUD (tolerance),radio,hsum_stm_freq,>= 3,symptom_4pt,I used prescription stimulants a lot more than others before feeling high.
268,hsum_stm_with01,Prescription stimulants,Symptom - Withdrawal (bodily sensations),radio,hsum_stm_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of prescription stimulants, I experienced: Goose bumps"
269,hsum_stm_with02,Prescription stimulants,Symptom - Withdrawal (bodily sensations),radio,hsum_stm_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of prescription stimulants, I experienced: Heart racing"
270,hsum_stm_with03,Prescription stimulants,Symptom - Withdrawal (bodily sensations),radio,hsum_stm_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of prescription stimulants, I experienced: Muscle aches"
271,hsum_stm_with04,Prescription stimulants,Symptom - Withdrawal (bodily sensations),radio,hsum_stm_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of prescription stimulants, I experienced: Physical shakes"
272,hsum_stm_with05,Prescription stimulants,Symptom - Withdrawal (bodily sensations),radio,hsum_stm_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of prescription stimulants, I experienced: Seizures"
273,hsum_stm_with06,Prescription stimulants,Symptom - Withdrawal (bodily sensations),radio,hsum_stm_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of prescription stimulants, I experienced: Sweating"
274,hsum_stm_with07,Prescription stimulants,Symptom - Withdrawal (digestive problems),radio,hsum_stm_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of prescription stimulants, I experienced: Constipation"
275,hsum_stm_with08,Prescription stimulants,Symptom - Withdrawal (digestive problems),radio,hsum_stm_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of prescription stimulants, I experienced: Diarrhea"
276,hsum_stm_with09,Prescription stimulants,Symptom - Withdrawal (digestive problems),radio,hsum_stm_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of prescription stimulants, I experienced: Nausea or Vomiting"
277,hsum_stm_with10,Prescription stimulants,Symptom - Withdrawal (face or head),radio,hsum_stm_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of prescription stimulants, I experienced: Coughing"
278,hsum_stm_with11,Prescription stimulants,Symptom - Withdrawal (face or head),radio,hsum_stm_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of prescription stimulants, I experienced: Dilated pupils"
279,hsum_stm_with12,Prescription stimulants,Symptom - Withdrawal (face or head),radio,hsum_stm_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of prescription stimulants, I experienced: Dry mouth"
280,hsum_stm_with13,Prescription stimulants,Symptom - Withdrawal (face or head),radio,hsum_stm_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of prescription stimulants, I experienced: Fever"
281,hsum_stm_with14,Prescription stimulants,Symptom - Withdrawal (face or head),radio,hsum_stm_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of prescription stimulants, I experienced: Headaches or Migraines"
282,hsum_stm_with15,Prescription stimulants,Symptom - Withdrawal (face or head),radio,hsum_stm_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of prescription stimulants, I experienced: Mouth sores"
283,hsum_stm_with16,Prescription stimulants,Symptom - Withdrawal (face or head),radio,hsum_stm_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of prescription stimulants, I experienced: Runny nose"
284,hsum_stm_with17,Prescription stimulants,Symptom - Withdrawal (face or head),radio,hsum_stm_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of prescription stimulants, I experienced: Teary eyes"
285,hsum_stm_with18,Prescription stimulants,Symptom - Withdrawal (face or head),radio,hsum_stm_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of prescription stimulants, I experienced: Yawning"
286,hsum_stm_with19,Prescription stimulants,"Symptom - Withdrawal (think, feel, or behave)",radio,hsum_stm_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of prescription stimulants, I experienced: Anxiety or Nervousness"
287,hsum_stm_with20,Prescription stimulants,"Symptom - Withdrawal (think, feel, or behave)",radio,hsum_stm_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of prescription stimulants, I experienced: Depression or Sadness"
288,hsum_stm_with21,Prescription stimulants,"Symptom - Withdrawal (think, feel, or behave)",radio,hsum_stm_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of prescription stimulants, I experienced: Trouble enjoying things"
289,hsum_stm_with22,Prescription stimulants,"Symptom - Withdrawal (think, feel, or behave)",radio,hsum_stm_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of prescription stimulants, I experienced: Anger or Irritability"
290,hsum_stm_with23,Prescription stimulants,"Symptom - Withdrawal (think, feel, or behave)",radio,hsum_stm_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of prescription stimulants, I experienced: Trouble concentrating"
291,hsum_stm_with24,Prescription stimulants,"Symptom - Withdrawal (think, feel, or behave)",radio,hsum_stm_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of prescription stimulants, I experienced: Trouble paying attention"
292,hsum_stm_with25,Prescription stimulants,"Symptom - Withdrawal (think, feel, or behave)",radio,hsum_stm_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of prescription stimulants, I experienced: Trouble thinking clearly"
293,hsum_stm_with26,Prescription stimulants,"Symptom - Withdrawal (think, feel, or behave)",radio,hsum_stm_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of prescription stimulants, I experienced: Restlessness"
294,hsum_stm_with27,Prescription stimulants,"Symptom - Withdrawal (think, feel, or behave)",radio,hsum_stm_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of prescription stimulants, I experienced: Seeing things that weren't really there"
295,hsum_stm_with28,Prescription stimulants,"Symptom - Withdrawal (think, feel, or behave)",radio,hsum_stm_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of prescription stimulants, I experienced: Feeling things that weren't really there"
296,hsum_stm_with29,Prescription stimulants,"Symptom - Withdrawal (think, feel, or behave)",radio,hsum_stm_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of prescription stimulants, I experienced: Hearing things that weren't really there"
297,hsum_stm_with30,Prescription stimulants,Symptom - Withdrawal (appetite or sleeping),radio,hsum_stm_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of prescription stimulants, I experienced: Decreased appetite"
298,hsum_stm_with31,Prescription stimulants,Symptom - Withdrawal (appetite or sleeping),radio,hsum_stm_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of prescription stimulants, I experienced: Increased appetite"
